Panel ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62
1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,8,9,9,9,9,1,1,1,1,2,1,1,9,8,8,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3
2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,6,9,9,9,9,4,8,9,9,9,9,6,8,9,8,8,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4
3,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,5,2,2,4,5,3,3,4,5,3,3,5,5,5,5,5,5,5,4,5,2,5,4,5,5,3,3,5,5,5,4,5,4,5,4,3,5
4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,4,2,4,8,3,3,6,3,1,3,6,3,5,5,4,5,4,2,3,3,4,3,4,2,2,2,5,4,3,5,4,3,3,3,2,4
5,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,8,8,7,7,7,7,9,5,5,9,6,8,5,8,7,7,7,4,4,4,1,3,5,5,4,5,3,4,2,4,5,4,4,3,3,4,1,1,3
6,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,5,5,4,6,5,4,3,4,5,4,6,5,4,6,6,6,7,4,3,3,2,3,3,4,4,4,2,3,2,4,3,3,4,2,2,4,3,3,4
7,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,8,8,4,4,4,1,4,4,4,4,4,1,1,1,4,4,2,4,1,1,2,2,2,2
8,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,4,4,4,4,3,3,5,4,4,6,6,1,3,4,5,6,5,5,5,5,4,4,5,5,5,5,4,2,3,4,5,3,4,3,3,5,5,4,4
9,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,3,5,4,5,5,5,9,8,7,8,5,6,5,9,6,9,8,3,5,4,3,3,4,2,3,4,3,4,3,5,4,4,4,4,2,3,3,3,3
10,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,1,6,4,3,5,2,4,7,8,5,5,4,2,4,7,8,6,8,3,3,2,1,1,4,5,5,2,4,1,1,4,5,4,4,2,4,4,5,4,5
11,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,3,3,3,4,3,2,4,4,3,2,2,3,3,3,4,3,4,3,3,2,3
12,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,3,6,1,4,6,3,3,3,3,1,3,3,4,4,4,1,5,5,1,3,2,4,5,3,3,3,3,4,5,2,4,1,1,2,2,2,3
13,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,4,4,2,7,2,2,4,5,6,7,7,3,4,7,9,9,9,5,2,3,1,3,5,5,5,4,3,3,3,3,4,4,4,2,2,5,3,4,5
14,2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,6,5,6,8,3,5,7,6,4,5,7,1,5,8,7,8,8,3,5,1,3,5,1,5,3,5,1,4,3,5,5,4,5,1,1,4,3,1,3
15,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,3,2,3,2,2,4,3,3,2,3,2,3,4,4,5,5,4,4,5,4,4,5,5,5,4,4,3,4,4,4,4,4,4,3,4,4,3,3
16,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,7,5,8,7,2,8,8,8,8,8,8,3,7,9,9,9,8,2,2,3,3,3,3,5,5,4,4,2,1,3,4,2,2,4,1,3,5,1,2
